Date,Open,High,Low,Settle,Volume
23/08/2011,5522.5,5639,5453,5524,170652
24/08/2011,5576,5747,5515.5,5672.5,170409
25/08/2011,5689.5,5779.5,5419,5588.5,242263
26/08/2011,5582,5592,5405,5532.5,200947
29/08/2011,5637.5,5718.5,5588,5676.5,98531
30/08/2011,5710.5,5731.5,5572,5646,165477
31/08/2011,5662,5872.5,5648.5,5792.5,195706
01/09/2011,5777.5,5797.5,5638,5724,202783
02/09/2011,5638.5,5650,5493,5541.5,164566
05/09/2011,5465,5465,5206.5,5259.5,151669
06/09/2011,5202,5335,5152,5198,252652
07/09/2011,5315.5,5454,5277,5400.5,187025
08/09/2011,5424.5,5474,5307.5,5406,212951
09/09/2011,5352,5402.5,5140.5,5185.5,237919
12/09/2011,5079,5149,4962,5080,270080
13/09/2011,5154.5,5224.5,4963,5147,348094
14/09/2011,5101,5450.5,5071,5339,364046
15/09/2011,5392,5582,5373.5,5499.5,270393
16/09/2011,5572.5,5636.5,5529,5575.88,43245
19/09/2011,5487,5507,5370,5444.5,161656
20/09/2011,5396.5,5589,5370,5577,174821
21/09/2011,5534.5,5588,5346,5443.5,174096
22/09/2011,5288,5312.5,5107.5,5176.5,232065
23/09/2011,5193,5242,4980,5194,229338
26/09/2011,5158,5425.5,5085,5353,242973
27/09/2011,5478.5,5683.5,5478,5621.5,214940
28/09/2011,5560.5,5711.5,5496,5591.5,194086
29/09/2011,5561,5715.5,5540.5,5647.5,172817
30/09/2011,5630,5637.5,5427,5471,202603
03/10/2011,5356,5448.5,5267,5393.5,179604
04/10/2011,5291.5,5344,5132,5232.5,228813
05/10/2011,5315,5524.5,5272,5472,192712
06/10/2011,5493,5689.5,5464,5645.5,241548
07/10/2011,5653,5759,5613.5,5681.5,173051
10/10/2011,5743.5,5884.5,5660.5,5853,148058
11/10/2011,5878.5,5894,5783,5861.5,140170
12/10/2011,5845.5,6038.5,5807,5994.5,182191
13/10/2011,5979.5,6046,5885,5911.5,177463
14/10/2011,5959,6048,5895,5965.5,162610
17/10/2011,6043.5,6091,5821,5869,185160
18/10/2011,5812,5998,5756,5873,197847
19/10/2011,5950,5988.5,5844,5919,159780
20/10/2011,5825,5925,5754,5782,220150
21/10/2011,5828,5995,5776,5974.5,170305
24/10/2011,6038,6078,5944,6066,142762
25/10/2011,6019,6169,5966,6051,202210
26/10/2011,6040,6155,5958,6016.5,180452
27/10/2011,6200,6442,6177.5,6331,207622
28/10/2011,6402,6440,6313.5,6351.5,160757
31/10/2011,6300,6314.5,6098,6172,150184
01/11/2011,6045,6045,5767.5,5840.5,256382
02/11/2011,5941,5999,5816,5975.5,166075
03/11/2011,5810,6202,5794.5,6158,252557
04/11/2011,6180,6194,5932,5986.5,186410
07/11/2011,6003.5,6034.5,5837.5,5928.5,159058
08/11/2011,5955,6093.5,5937.5,5974.5,158452
09/11/2011,6094,6102,5733,5838.5,232221
10/11/2011,5695,5939.5,5666,5871,215081
11/11/2011,5921.5,6070.5,5856.5,6048.5,150396
14/11/2011,6089,6135,5924.5,6001,165732
15/11/2011,5928,6018,5817.5,5949.5,202978
16/11/2011,5849,6036,5835,5925.5,193455
17/11/2011,5870,5927,5760,5849,212335
18/11/2011,5758,5904,5755,5820,165706
21/11/2011,5750,5783.5,5590,5622,176653
22/11/2011,5656.5,5685,5535.5,5557.5,182786
23/11/2011,5483.5,5592.5,5453,5479.5,189102
24/11/2011,5494,5567,5400.5,5441,117370
25/11/2011,5435,5532,5366,5488,140265
28/11/2011,5595.5,5757.5,5567,5738.5,168712
29/11/2011,5757,5829,5692,5796,179644
30/11/2011,5739,6134.5,5704.5,6082.5,261312
01/12/2011,6118.5,6126.5,6017.5,6040,165924
02/12/2011,6090,6175,6046.5,6078,148634
05/12/2011,6115.5,6175,6053.5,6114.5,140708
06/12/2011,6049,6098,6007,6043.5,139078
07/12/2011,6098,6138.5,5919.5,5999.5,173109
08/12/2011,6070,6080.5,5815.5,5879,209350
09/12/2011,5798,6029,5770,5990,191434
12/12/2011,6001.5,6010,5759,5797.5,211600
13/12/2011,5819,5854.5,5700,5769.5,230487
14/12/2011,5713,5772,5669.5,5685.5,219442
15/12/2011,5659.5,5797,5650,5747.5,222569
16/12/2011,5783,5789.5,5714.5,5727.94,19522
19/12/2011,5632,5786,5614.5,5674,125739
20/12/2011,5675,5888,5643.5,5850,129865
21/12/2011,5891,5976,5773,5799.5,152533
22/12/2011,5805.5,5895,5804,5860,95240
23/12/2011,5927.5,5937.5,5851.5,5886,50623
27/12/2011,5905,5932,5884.5,5906.5,32515
28/12/2011,5865.5,5910,5774,5790.5,76826
29/12/2011,5795,5886.5,5780.5,5834.5,67159
30/12/2011,5880,5900,5822,5900,35988
02/01/2012,5890,6081.5,5880,6073.5,55734
03/01/2012,6105,6186,6078,6173,136088
04/01/2012,6133.5,6170,6092.5,6122.5,115319
05/01/2012,6120,6149,6045.5,6106,143120
06/01/2012,6105,6160,6016.5,6060.5,138914
09/01/2012,6022.5,6083.5,5992.5,6027.5,133871
10/01/2012,6095,6198,6075,6169.5,150734
11/01/2012,6138.5,6187,6110.5,6147,134405
12/01/2012,6173,6264,6152,6184.5,158400
13/01/2012,6238,6264.5,6067,6134.5,182827
16/01/2012,6109,6238,6097.5,6226.5,92383
17/01/2012,6278,6349,6267.5,6327.5,152302
18/01/2012,6320,6404,6285.5,6358.5,163493
19/01/2012,6400,6427,6336,6417.5,140730
20/01/2012,6427,6440,6376,6413.5,142089
23/01/2012,6415.5,6480,6355.5,6437,136830
24/01/2012,6412,6429.5,6338,6416,142306
25/01/2012,6465,6480.5,6369,6419.5,132553
26/01/2012,6459.5,6564.5,6433.5,6542,147324
27/01/2012,6524,6579,6486,6523,141730
30/01/2012,6492,6496.5,6416,6451,126553
31/01/2012,6484,6538,6453.5,6468.5,142089
01/02/2012,6475,6636,6465.5,6611.5,166840
02/02/2012,6639,6677,6610,6662,139214
03/02/2012,6663,6795,6639.5,6768,145950
06/02/2012,6754,6786.5,6718.5,6766.5,114099
07/02/2012,6754.5,6792.5,6685.5,6759,142195
08/02/2012,6787.5,6835,6737,6749,127644
09/02/2012,6780,6849,6748.5,6789,164904
10/02/2012,6765,6770,6651,6697.5,154106
13/02/2012,6742,6777,6711,6731.5,116487
14/02/2012,6722,6796,6694,6732.5,141099
15/02/2012,6800,6834,6715,6767,157588
16/02/2012,6673,6808,6653,6747.5,162242
17/02/2012,6793.5,6879,6793.5,6842.5,134469
20/02/2012,6920,6960,6880,6945,86827
21/02/2012,6958.5,6975.5,6872,6916,138476
22/02/2012,6905.5,6922.5,6821,6849.5,138331
23/02/2012,6850,6908,6732,6812,163898
24/02/2012,6853.5,6893.5,6827.5,6868,109068
27/02/2012,6826.5,6872.5,6744,6864.5,140899
28/02/2012,6875,6904.5,6810.5,6891.5,147750
29/02/2012,6906.5,6970,6842.5,6854.5,169077
01/03/2012,6823,6962,6817,6934,151449
02/03/2012,6962,6965,6898.5,6925,113117
05/03/2012,6884.5,6906,6815,6870,138695
06/03/2012,6863,6868,6602,6659.5,214673
07/03/2012,6636,6683,6613.5,6676,138716
